#Cas(sec) 	#srazky(mm)	#Vypary(mm)
774000	0	-0.0112420100
777600	0	0.0000000000
781200	0	0.0000000000
784800	0	0.0000000000
788400	0	0.0000000000
792000	0	0.0000000000
795600	0	0.0000000000
799200	0	0.0000000000
802800	0	0.0000000000
806400	0	0.0000000000
810000	0	0.0000000000
813600	0	0.0000000000
817200	0	0.0000000000
820800	0	0.0000000000
824400	0	0.0000000000
828000	0	0.0000000000
831600	0	0.0000000000
835200	0	0.0000000000
838800	0	0.0000000000
842400	0	0.0000000000
846000	0	0.0000000000
849600	0	0.0000000000
853200	0	0.0000000000
856800	0	0.0000000000
860400	0	0.0000000000
864000	0	0.0000000000
867600	0	0.0000000000
871200	0	0.0000000000
874800	0	0.0000000000
878400	0	0.0000000000
882000	0	0.0000000000
885600	0	0.0000000000
889200	0	0.0000000000
892800	0	0.0000000000
896400	0	0.0000000000
900000	0	0.0000000000
903600	0	0.0000000000
907200	0	0.0000000000
910800	0	0.0000000000
914400	0	0.0000000000
918000	0	0.0000000000
921600	0	0.0000000000
925200	0	0.0000000000
928800	0.6	0.0000000000
932400	0.8	0.0000000000
936000	0.2	0.0000000000
939600	0	0.0000000000
943200	0.5	0.0000000000
946800	0	0.0000000000
950400	0.1	-0.0291290800
954000	0	-0.0291290800
957600	0	-0.0291290800
961200	0.1	-0.0291290800
964800	0	-0.0291290800
968400	0	-0.0291290800
972000	0	-0.0291290800
975600	0	-0.0291290800
979200	0	-0.0291290800
982800	0	-0.0291290800
986400	0	-0.0291290800
990000	0	-0.0291290800
993600	0	-0.0291290800
997200	0	-0.0291290800
1000800	0	-0.0291290800
1004400	0	-0.0291290800
1008000	0	-0.0291290800
1011600	0	-0.0291290800
1015200	0	-0.0291290800
1018800	0	-0.0291290800
1022400	0	-0.0291290800
1026000	0	-0.0291290800
1029600	0	-0.0291290800
1033200	0	-0.0291290800
1036800	0	-0.0449409500
1040400	0.6	-0.0449409500
1044000	0.7	-0.0449409500
1047600	0.2	-0.0449409500
1051200	0.1	-0.0449409500
1054800	0	-0.0449409500
1058400	0	-0.0449409500
1062000	0	-0.0449409500
1065600	0	-0.0449409500
1069200	0	-0.0449409500
1072800	0	-0.0449409500
1076400	0	-0.0449409500
1080000	0	-0.0449409500
1083600	0	-0.0449409500
1087200	0	-0.0449409500
1090800	0.1	-0.0449409500
1094400	0	-0.0449409500
1098000	0	-0.0449409500
1101600	0	-0.0449409500
1105200	0	-0.0449409500
1108800	0	-0.0449409500
1112400	0	-0.0449409500
1116000	0	-0.0449409500
1119600	0	-0.0449409500
1123200	0	-0.0284496000
1126800	0	-0.0284496000
1130400	0	-0.0284496000
1134000	0	-0.0284496000
1137600	0	-0.0284496000
1141200	0	-0.0284496000
1144800	0	-0.0284496000
1148400	0	-0.0284496000
1152000	0	-0.0284496000
1155600	0.1	-0.0284496000
1159200	0	-0.0284496000
1162800	0.3	-0.0284496000
1166400	0	-0.0284496000
1170000	0	-0.0284496000
1173600	0.1	-0.0284496000
1177200	0	-0.0284496000
1180800	0	-0.0284496000
1184400	0.4	-0.0284496000
1188000	0	-0.0284496000
1191600	0	-0.0284496000
1195200	0.1	-0.0284496000
1198800	0	-0.0284496000
1202400	0	-0.0284496000
1206000	0	-0.0284496000
1209600	0	-0.0327073900
1213200	0	-0.0327073900
1216800	0	-0.0327073900
1220400	0	-0.0327073900
1224000	0	-0.0327073900
1227600	0	-0.0327073900
1231200	0	-0.0327073900
1234800	0	-0.0327073900
1238400	0	-0.0327073900
1242000	0	-0.0327073900
1245600	0	-0.0327073900
1249200	0	-0.0327073900
1252800	0	-0.0327073900
1256400	0	-0.0327073900
1260000	0	-0.0327073900
1263600	0	-0.0327073900
1267200	0	-0.0327073900
1270800	0	-0.0327073900
1274400	0	-0.0327073900
1278000	0	-0.0327073900
1281600	0	-0.0327073900
1285200	0	-0.0327073900
1288800	0	-0.0327073900
1292400	0	-0.0327073900
1296000	0	-0.0179480800
1299600	0	-0.0179480800
