					
#					
#	POINT	1	[pressure	head	cm]
#					
#					
#					
#	Obs	Obs	Obs		
865	-15.9	-17.1		12.51857092	
870	-15.9	-17.1		12.62469048	
875	-16	-17.2		12.73081005	
880	-16.2	-17.4		12.83692961	
885	-16	-17.4		12.94304917	
890	-15.9	-17.1		13.04916873	
895	-15.9	-17		13.15528829	
900	-15.7	-17		13.26140785	
905	-15.8	-17		13.36752741	
910	-15.6	-17		13.47364698	
915	-15.8	-17		13.57976654	
920	-15.9	-17		13.6858861	
925	-16.1	-17.2		13.79200566	
930	-16	-17.3		13.89812522	
935	-15.7	-17.1		14.00424478	
940	-15.7	-16.9		14.11036434	
945	-15.5	-16.9		14.21648391	
950	-13.7	-16.4		14.32260347	
955	-16.2	-17		14.42872303	
960	-15.8	-17		14.53484259	
965	-15.7	-17		14.64096215	
970	-14.8	-16.8		14.74708171	
975	-15.9	-17.3		14.85320127	
980	-15.8	-17.3		14.95932083	
985	-15.7	-16.8		15.0654404	
990	-15.6	-16.8		15.17155996	
995	-15.5	-16.9		15.27767952	
1000	-15.7	-16.6		15.38379908	
1010	-14.8	-16.9		15.48991864	
1010	-15.7	-17		15.5960382	
1020	-15.7	-17.2		15.70215776	
1020	-15.8	-17		15.80827733	
1030	-15.6	-16.9		15.91439689	
1030	-15.5	-16.8		16.02051645	
1040	-15.5	-16.8		16.12663601	
1040	-15.5	-16.8		16.23275557	
1050	-15.4	-16.8		16.33887513	
1050	-15.4	-16.8		16.44499469	
1060	-15.4	-16.8		16.55111426	
1060	-15.5	-16.9		16.65723382	
1070	-15.6	-17.1		16.76335338	
1070	-15.5	-16.9		16.86947294	
1080	-15.5	-16.7		16.9755925	
1080	-15.4	-16.6		17.08171206	
1090	-15.3	-16.7		17.18783162	
1090	-15.3	-16.7		17.29395119	
1100	-15.3	-17		17.40007075	
1100	-15.6	-17		17.50619031	
1110	-15.6	-17.1		17.61230987	
1110	-15.7	-17.2		17.71842943	
1120	-15.8	-17.3		17.82454899	
1120	-16	-17		17.93066855	
1130	-15.6	-16.8		18.03678811	
1130	-15.5	-16.8		18.14290768	
1140	-15.5	-16.8		18.24902724	
1140	-15.5	-16.8		18.3551468	
1150	-15.5	-16.8		18.46126636	
1150	-15.5	-16.9		18.56738592	
1160	-15.5	-17		18.67350548	
1160	-15.7	-17.3		18.77962504	
1170	-16	-17.2		18.88574461	
1170	-15.9	-17		18.99186417	
1180	-15.9	-16.9		19.09798373	
1180	-15.7	-16.8		19.20410329	
1190	-15.5	-16.9		19.31022285	
1190	-15.5	-16.7		19.41634241	
1200	-15.4	-16.8		19.52246197	
1200	-15.2	-16.8		19.62858154	
1210	-15.5	-16.9		19.7347011	
1210	-15.5	-17.2		19.84082066	
1220	-15.9	-17.1		19.94694022	
1220	-16	-16.9		20.05305978	
1230	-15.7	-16.7		20.15917934	
1230	-15.3	-16.6		20.2652989	
1240	-15.2	-16.6		20.37141846	
1240	-15.2	-16.6		20.47753803	
1250	-15.2	-16.6		20.58365759	
1250	-15.2	-16.6		20.68977715	
1260	-15.2	-16.6		20.79589671	
1260	-15.2	-16.8		20.90201627	
1270	-15	-16.9		21.00813583	
1270	-15.6	-16.6		21.11425539	
1280	-15.2	-16.4		21.22037496	
1280	-15.1	-16.3		21.32649452	
1290	-15	-16.4		21.43261408	
1290	-15	-16.4		21.53873364	
1300	-15	-16.4		21.6448532	
1300	-15.3	-16.3		21.75097276	
1310	-14.8	-16.5		21.85709232	
1310	-14.8	-16.6		21.96321189	
1320	-15	-16.6		22.06933145	
1320	-15.2	-16.5		22.17545101	
1330	-15	-16.3		22.28157057	
1330	-15	-16.3		22.38769013	
